Printout for SDDS file facet_noFF.mat

 ElementName        s             R16            T166           R56            T566     
                    m             m/1             m             m/1             m       
----------------------------------------------------------------------------------------
       _BEG_   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
           C   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
        B1LE   1.063090e+00   1.200675e-02  -1.200521e-02   9.040973e-05  -4.680550e-17 
       CB1LE   1.063090e+00   1.200675e-02  -1.200521e-02   9.040973e-05  -4.680550e-17 
    CSRD0001   4.929030e+00   9.935067e-02  -9.937142e-02   9.040973e-05   9.866891e-04 
    T202040T   4.929030e+00   9.935067e-02  -9.937142e-02   9.040973e-05   9.866891e-04 
    CSRD0002   5.533970e+00   1.130182e-01  -1.130424e-01   9.040973e-05   1.141086e-03 
    P202042T   5.533970e+00   1.130182e-01  -1.130424e-01   9.040973e-05   1.141086e-03 
    CSRD0003   5.873162e+00   1.206816e-01  -1.207078e-01   9.040973e-05   1.227656e-03 
         M1E   5.873162e+00   1.206816e-01  -1.207078e-01   9.040973e-05   1.227656e-03 
    CSRD0004   6.026445e+00   1.241448e-01  -1.241719e-01   9.040973e-05   1.266778e-03 
         Q1E   6.324545e+00   1.273315e-01  -1.238278e-01   9.040973e-05   1.290924e-03 
         Q1E   6.622645e+00   1.233691e-01  -1.094158e-01   9.040973e-05   1.324328e-03 
    CSRD0005   7.761545e+00   9.473002e-02  -2.842203e-02   9.040973e-05   1.684410e-03 
    CN202069   7.761545e+00   9.473002e-02  -2.842203e-02   9.040973e-05   1.684410e-03 
    CSRD0006   8.011545e+00   8.844346e-02  -1.064309e-02   9.040973e-05   1.763452e-03 
    CH202072   8.011545e+00   8.844346e-02  -1.064309e-02   9.040973e-05   1.763452e-03 
    CSRD0007   8.972445e+00   6.428044e-02   5.769205e-02   9.040973e-05   2.067256e-03 
    CV202082   8.972445e+00   6.428044e-02   5.769205e-02   9.040973e-05   2.067256e-03 
    CSRD0008   9.322445e+00   5.547925e-02   8.258257e-02   9.040973e-05   2.177915e-03 
    CH202085   9.322445e+00   5.547925e-02   8.258257e-02   9.040973e-05   2.177915e-03 
    CSRD0009   9.512445e+00   5.070146e-02   9.609457e-02   9.040973e-05   2.237986e-03 
        YC1E   9.642445e+00   4.743245e-02   1.053396e-01   9.040973e-05   2.279088e-03 
        YC1E   9.772445e+00   4.416344e-02   1.145847e-01   9.040973e-05   2.320190e-03 
    CSRD0010   9.886445e+00   4.129677e-02   1.226919e-01   9.040973e-05   2.356233e-03 
        XC1E   1.001645e+01   3.802776e-02   1.319369e-01   9.040973e-05   2.397334e-03 
        XC1E   1.014645e+01   3.475875e-02   1.411820e-01   9.040973e-05   2.438436e-03 
    CSRD0011   1.041400e+01   2.803087e-02   1.602090e-01   9.040973e-05   2.523027e-03 
         B2E   1.223890e+01  -4.778499e-02   3.198956e-01   2.507794e-04  -3.533481e-03 
       CB2LE   1.223890e+01  -4.778499e-02   3.198956e-01   2.507794e-04  -3.533481e-03 
      MSEP1E   1.223890e+01  -4.778499e-02   3.198956e-01   2.507794e-04  -3.533481e-03 
    CSRD0012   1.243250e+01  -5.900587e-02   3.400225e-01   2.507794e-04  -3.208305e-03 
         Q2E   1.293250e+01  -9.209497e-02   4.175456e-01   2.507794e-04  -2.106862e-03 
         Q2E   1.343250e+01  -1.362137e-01   5.562141e-01   2.507794e-04  -1.454452e-04 
    CSRD0013   1.362615e+01  -1.560659e-01   6.242626e-01   2.507794e-04   8.721075e-04 
         S1E   1.375115e+01  -1.688800e-01   6.672562e-01   2.507794e-04   1.528912e-03 
         S1E   1.387615e+01  -1.816941e-01   7.081851e-01   2.507794e-04   2.185716e-03 
    CSRD0014   1.412656e+01  -2.073645e-01   7.878967e-01   2.507794e-04   3.501490e-03 
         M3E   1.412656e+01  -2.073645e-01   7.878967e-01   2.507794e-04   3.501490e-03 
    CSRD0015   1.428375e+01  -2.234777e-01   8.379312e-01   2.507794e-04   4.327392e-03 
         Q3E   1.464085e+01  -2.522149e-01   9.145309e-01   2.507794e-04   5.513863e-03 
         Q3E   1.499795e+01  -2.641094e-01   9.133109e-01   2.507794e-04   5.747505e-03 
    CSRD0016   1.522735e+01  -2.661077e-01   8.870331e-01   2.507794e-04   5.756209e-03 
         Q3E   1.558445e+01  -2.602986e-01   8.080962e-01   2.507794e-04   5.840406e-03 
         Q3E   1.594155e+01  -2.371070e-01   6.579103e-01   2.507794e-04   6.626480e-03 
    CSRD0017   1.618242e+01  -2.158867e-01   5.348690e-01   2.507794e-04   7.561202e-03 
         S2E   1.656342e+01  -1.823218e-01   3.829070e-01   2.507794e-04   9.039684e-03 
         S2E   1.694442e+01  -1.487568e-01   2.989062e-01   2.507794e-04   1.051817e-02 
    CSRD0018   1.716331e+01  -1.294737e-01   2.656237e-01   2.507794e-04   1.136756e-02 
        XC2E   1.729331e+01  -1.180211e-01   2.458567e-01   2.507794e-04   1.187203e-02 
        XC2E   1.742331e+01  -1.065685e-01   2.260896e-01   2.507794e-04   1.237650e-02 
    CSRD0019   1.889790e+01   2.333820e-02   1.872446e-03   2.507794e-04   1.809868e-02 
         S3E   1.902290e+01   3.435031e-02  -1.711891e-02   2.507794e-04   1.858375e-02 
         S3E   1.914790e+01   4.536242e-02  -3.606007e-02   2.507794e-04   1.906882e-02 
    CSRD0020   1.938760e+01   6.647924e-02  -7.231164e-02   2.507794e-04   1.999898e-02 
         Q4E   1.974470e+01   9.581369e-02  -1.217091e-01   2.507794e-04   2.120623e-02 
         Q4E   2.010180e+01   1.198588e-01  -1.591228e-01   2.507794e-04   2.201999e-02 
    CSRD0021   2.033120e+01   1.333040e-01  -1.785228e-01   2.507794e-04   2.241400e-02 
         Q4E   2.068830e+01   1.503614e-01  -1.996614e-01   2.507794e-04   2.282869e-02 
         Q4E   2.104539e+01   1.591182e-01  -2.015157e-01   2.507794e-04   2.294475e-02 
    CSRD0022   2.127479e+01   1.619482e-01  -1.963033e-01   2.507794e-04   2.296220e-02 
         Q4E   2.163189e+01   1.618429e-01  -1.783559e-01   2.507794e-04   2.297173e-02 
         Q4E   2.198899e+01   1.528032e-01  -1.416695e-01   2.507794e-04   2.309513e-02 
    CSRD0023   2.222869e+01   1.438216e-01  -1.112383e-01   2.507794e-04   2.326340e-02 
         M4E   2.222869e+01   1.438216e-01  -1.112383e-01   2.507794e-04   2.326340e-02 
       D6EA1   2.222869e+01   1.438216e-01  -1.112383e-01   2.507794e-04   2.326340e-02 
         S3E   2.235369e+01   1.391378e-01  -9.494552e-02   2.507794e-04   2.335115e-02 
         S3E   2.247869e+01   1.344539e-01  -7.784286e-02   2.507794e-04   2.343890e-02 
    CSRD0024   2.266627e+01   1.274253e-01  -5.159755e-02   2.507794e-04   2.357059e-02 
        YC2E   2.273427e+01   1.248773e-01  -4.208320e-02   2.507794e-04   2.361832e-02 
        YC2E   2.280227e+01   1.223293e-01  -3.256886e-02   2.507794e-04   2.366606e-02 
    CSRD0025   2.295870e+01   1.164679e-01  -1.068195e-02   2.507794e-04   2.377588e-02 
         Q5E   2.317290e+01   1.092286e-01   1.849563e-02   2.507794e-04   2.389868e-02 
         Q5E   2.338710e+01   1.034999e-01   4.641667e-02   2.507794e-04   2.397571e-02 
        DM5Q   2.338710e+01   1.034999e-01   4.641667e-02   2.507794e-04   2.397571e-02 
