Printout for SDDS file facet_noFF.mat

 ElementName        s             R16            T166           R56            T566     
                    m             m/1             m             m/1             m       
----------------------------------------------------------------------------------------
       _BEG_   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
           C   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
        B1LE   1.063090e+00   1.200675e-02  -1.200521e-02   9.040973e-05  -4.680550e-17 
       CB1LE   1.063090e+00   1.200675e-02  -1.200521e-02   9.040973e-05  -4.680550e-17 
    CSRD0001   4.929030e+00   9.935067e-02  -9.937142e-02   9.040973e-05   9.866891e-04 
    T202040T   4.929030e+00   9.935067e-02  -9.937142e-02   9.040973e-05   9.866891e-04 
    CSRD0002   5.533970e+00   1.130182e-01  -1.130424e-01   9.040973e-05   1.141086e-03 
    P202042T   5.533970e+00   1.130182e-01  -1.130424e-01   9.040973e-05   1.141086e-03 
    CSRD0003   5.873162e+00   1.206816e-01  -1.207078e-01   9.040973e-05   1.227656e-03 
         M1E   5.873162e+00   1.206816e-01  -1.207078e-01   9.040973e-05   1.227656e-03 
    CSRD0004   6.026445e+00   1.241448e-01  -1.241719e-01   9.040973e-05   1.266778e-03 
         Q1E   6.324545e+00   1.259541e-01  -1.210882e-01   9.040973e-05   1.285935e-03 
         Q1E   6.622645e+00   1.179466e-01  -9.881424e-02   9.040973e-05   1.406483e-03 
    CSRD0005   7.761545e+00   6.915734e-02   2.063063e-02   9.040973e-05   2.451522e-03 
    CN202069   7.761545e+00   6.915734e-02   2.063063e-02   9.040973e-05   2.451522e-03 
    CSRD0006   8.011545e+00   5.844761e-02   4.684999e-02   9.040973e-05   2.680919e-03 
    CH202072   8.011545e+00   5.844761e-02   4.684999e-02   9.040973e-05   2.680919e-03 
    CSRD0007   8.972445e+00   1.728370e-02   1.476267e-01   9.040973e-05   3.562627e-03 
    CV202082   8.972445e+00   1.728370e-02   1.476267e-01   9.040973e-05   3.562627e-03 
    CSRD0008   9.322445e+00   2.290074e-03   1.843338e-01   9.040973e-05   3.883783e-03 
    CH202085   9.322445e+00   2.290074e-03   1.843338e-01   9.040973e-05   3.883783e-03 
    CSRD0009   9.512445e+00  -5.849321e-03   2.042605e-01   9.040973e-05   4.058124e-03 
        YC1E   9.642445e+00  -1.141838e-02   2.178945e-01   9.040973e-05   4.177410e-03 
        YC1E   9.772445e+00  -1.698744e-02   2.315286e-01   9.040973e-05   4.296697e-03 
    CSRD0010   9.886445e+00  -2.187108e-02   2.434846e-01   9.040973e-05   4.401302e-03 
        XC1E   1.001645e+01  -2.744014e-02   2.571187e-01   9.040973e-05   4.520588e-03 
        XC1E   1.014645e+01  -3.300920e-02   2.707528e-01   9.040973e-05   4.639874e-03 
    CSRD0011   1.041400e+01  -4.447075e-02   2.988127e-01   9.040973e-05   4.885374e-03 
         B2E   1.223890e+01  -1.525682e-01   5.199399e-01   3.159389e-03  -5.101396e-03 
       CB2LE   1.223890e+01  -1.525682e-01   5.199399e-01   3.159389e-03  -5.101396e-03 
      MSEP1E   1.223890e+01  -1.525682e-01   5.199399e-01   3.159389e-03  -5.101396e-03 
    CSRD0012   1.243250e+01  -1.672144e-01   5.466087e-01   3.159389e-03  -4.547391e-03 
         Q2E   1.293250e+01  -2.158054e-01   6.604545e-01   3.159389e-03  -2.144275e-03 
         Q2E   1.343250e+01  -2.902421e-01   8.794994e-01   3.159389e-03   3.469936e-03 
    CSRD0013   1.362615e+01  -3.251107e-01   9.886665e-01   3.159389e-03   6.609048e-03 
         S1E   1.375115e+01  -3.476174e-01   1.054981e+00   3.159389e-03   8.635265e-03 
         S1E   1.387615e+01  -3.701242e-01   1.112227e+00   3.159389e-03   1.066148e-02 
    CSRD0014   1.412656e+01  -4.152119e-01   1.217026e+00   3.159389e-03   1.472059e-02 
         M3E   1.412656e+01  -4.152119e-01   1.217026e+00   3.159389e-03   1.472059e-02 
    CSRD0015   1.428375e+01  -4.435132e-01   1.282808e+00   3.159389e-03   1.726847e-02 
         Q3E   1.464085e+01  -4.941771e-01   1.379615e+00   3.159389e-03   2.095262e-02 
         Q3E   1.499795e+01  -5.158627e-01   1.366686e+00   3.159389e-03   2.171564e-02 
    CSRD0016   1.522735e+01  -5.201190e-01   1.322580e+00   3.159389e-03   2.175512e-02 
         Q3E   1.558445e+01  -5.114298e-01   1.200576e+00   3.159389e-03   2.196991e-02 
         Q3E   1.594155e+01  -4.727507e-01   9.783288e-01   3.159389e-03   2.416396e-02 
    CSRD0017   1.618242e+01  -4.369603e-01   7.976451e-01   3.159389e-03   2.682292e-02 
         S2E   1.656342e+01  -3.803494e-01   5.733829e-01   3.159389e-03   3.102868e-02 
         S2E   1.694442e+01  -3.237385e-01   4.512404e-01   3.159389e-03   3.523445e-02 
    CSRD0018   1.716331e+01  -2.912153e-01   4.048190e-01   3.159389e-03   3.765067e-02 
        XC2E   1.729331e+01  -2.718993e-01   3.772485e-01   3.159389e-03   3.908571e-02 
        XC2E   1.742331e+01  -2.525832e-01   3.496780e-01   3.159389e-03   4.052075e-02 
    CSRD0019   1.889790e+01  -3.348144e-02   3.694659e-02   3.159389e-03   5.679837e-02 
         S3E   1.902290e+01  -1.490831e-02   1.046861e-02   3.159389e-03   5.817821e-02 
         S3E   1.914790e+01   3.664811e-03  -1.598587e-02   3.159389e-03   5.955805e-02 
    CSRD0020   1.938760e+01   3.928063e-02  -6.671292e-02   3.159389e-03   6.220404e-02 
         Q4E   1.974470e+01   9.032035e-02  -1.370170e-01   3.159389e-03   6.585411e-02 
         Q4E   2.010180e+01   1.349595e-01  -1.912490e-01   3.159389e-03   6.865181e-02 
    CSRD0021   2.033120e+01   1.608704e-01  -2.193186e-01   3.159389e-03   7.011514e-02 
         Q4E   2.068830e+01   1.950276e-01  -2.485835e-01   3.159389e-03   7.176779e-02 
         Q4E   2.104539e+01   2.153642e-01  -2.464940e-01   3.159389e-03   7.237220e-02 
    CSRD0022   2.127479e+01   2.236240e-01  -2.346252e-01   3.159389e-03   7.252090e-02 
         Q4E   2.163189e+01   2.284061e-01  -2.000265e-01   3.159389e-03   7.258365e-02 
         Q4E   2.198899e+01   2.170022e-01  -1.351633e-01   3.159389e-03   7.279557e-02 
    CSRD0023   2.222869e+01   2.040328e-01  -8.250294e-02   3.159389e-03   7.314644e-02 
         M4E   2.222869e+01   2.040328e-01  -8.250294e-02   3.159389e-03   7.314644e-02 
       D6EA1   2.222869e+01   2.040328e-01  -8.250294e-02   3.159389e-03   7.314644e-02 
         S3E   2.235369e+01   1.972694e-01  -5.333153e-02   3.159389e-03   7.332941e-02 
         S3E   2.247869e+01   1.905061e-01  -2.089122e-02   3.159389e-03   7.351238e-02 
    CSRD0024   2.266627e+01   1.803568e-01   3.013107e-02   3.159389e-03   7.378696e-02 
        YC2E   2.273427e+01   1.766775e-01   4.862745e-02   3.159389e-03   7.388649e-02 
        YC2E   2.280227e+01   1.729983e-01   6.712384e-02   3.159389e-03   7.398603e-02 
    CSRD0025   2.295870e+01   1.645344e-01   1.096731e-01   3.159389e-03   7.421501e-02 
         Q5E   2.317290e+01   1.541676e-01   1.676948e-01   3.159389e-03   7.446701e-02 
         Q5E   2.338710e+01   1.461474e-01   2.259194e-01   3.159389e-03   7.461817e-02 
        DM5Q   2.338710e+01   1.461474e-01   2.259194e-01   3.159389e-03   7.461817e-02 
