Printout for SDDS file facet_noFF.mat

 ElementName        s             R16            T166           R56            T566     
                    m             m/1             m             m/1             m       
----------------------------------------------------------------------------------------
       _BEG_   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
           C   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
        B1LE   1.063090e+00   1.200675e-02  -1.200521e-02   9.040973e-05  -4.680550e-17 
       CB1LE   1.063090e+00   1.200675e-02  -1.200521e-02   9.040973e-05  -4.680550e-17 
    CSRD0001   4.929030e+00   9.935067e-02  -9.937142e-02   9.040973e-05   9.866891e-04 
    T202040T   4.929030e+00   9.935067e-02  -9.937142e-02   9.040973e-05   9.866891e-04 
    CSRD0002   5.533970e+00   1.130182e-01  -1.130424e-01   9.040973e-05   1.141086e-03 
    P202042T   5.533970e+00   1.130182e-01  -1.130424e-01   9.040973e-05   1.141086e-03 
    CSRD0003   5.873162e+00   1.206816e-01  -1.207078e-01   9.040973e-05   1.227656e-03 
         M1E   5.873162e+00   1.206816e-01  -1.207078e-01   9.040973e-05   1.227656e-03 
    CSRD0004   6.026445e+00   1.241448e-01  -1.241719e-01   9.040973e-05   1.266778e-03 
         Q1E   6.324545e+00   1.273715e-01  -1.239074e-01   9.040973e-05   1.291195e-03 
         Q1E   6.622645e+00   1.235273e-01  -1.097264e-01   9.040973e-05   1.322901e-03 
    CSRD0005   7.761545e+00   9.548092e-02  -2.987310e-02   9.040973e-05   1.668234e-03 
    CN202069   7.761545e+00   9.548092e-02  -2.987310e-02   9.040973e-05   1.668234e-03 
    CSRD0006   8.011545e+00   8.932446e-02  -1.234450e-02   9.040973e-05   1.744039e-03 
    CH202072   8.011545e+00   8.932446e-02  -1.234450e-02   9.040973e-05   1.744039e-03 
    CSRD0007   8.972445e+00   6.566146e-02   5.502842e-02   9.040973e-05   2.035399e-03 
    CV202082   8.972445e+00   6.566146e-02   5.502842e-02   9.040973e-05   2.035399e-03 
    CSRD0008   9.322445e+00   5.704241e-02   7.956846e-02   9.040973e-05   2.141525e-03 
    CH202085   9.322445e+00   5.704241e-02   7.956846e-02   9.040973e-05   2.141525e-03 
    CSRD0009   9.512445e+00   5.236350e-02   9.289019e-02   9.040973e-05   2.199136e-03 
        YC1E   9.642445e+00   4.916213e-02   1.020051e-01   9.040973e-05   2.238555e-03 
        YC1E   9.772445e+00   4.596077e-02   1.111199e-01   9.040973e-05   2.277973e-03 
    CSRD0010   9.886445e+00   4.315342e-02   1.191130e-01   9.040973e-05   2.312539e-03 
        XC1E   1.001645e+01   3.995206e-02   1.282278e-01   9.040973e-05   2.351958e-03 
        XC1E   1.014645e+01   3.675070e-02   1.373427e-01   9.040973e-05   2.391376e-03 
    CSRD0011   1.041400e+01   3.016205e-02   1.561018e-01   9.040973e-05   2.472501e-03 
         B2E   1.223890e+01  -4.470434e-02   3.139646e-01   1.652719e-04  -3.458488e-03 
       CB2LE   1.223890e+01  -4.470434e-02   3.139646e-01   1.652719e-04  -3.458488e-03 
      MSEP1E   1.223890e+01  -4.470434e-02   3.139646e-01   1.652719e-04  -3.458488e-03 
    CSRD0012   1.243250e+01  -5.582447e-02   3.338975e-01   1.652719e-04  -3.139125e-03 
         Q2E   1.293250e+01  -8.845770e-02   4.103453e-01   1.652719e-04  -2.068220e-03 
         Q2E   1.343250e+01  -1.316850e-01   5.466361e-01   1.652719e-04  -1.857205e-04 
    CSRD0013   1.362615e+01  -1.510956e-01   6.134686e-01   1.652719e-04   7.870723e-04 
         S1E   1.375115e+01  -1.636247e-01   6.557391e-01   1.652719e-04   1.414985e-03 
         S1E   1.387615e+01  -1.761538e-01   6.960803e-01   1.652719e-04   2.042898e-03 
    CSRD0014   1.412656e+01  -2.012533e-01   7.747624e-01   1.652719e-04   3.300794e-03 
         M3E   1.412656e+01  -2.012533e-01   7.747624e-01   1.652719e-04   3.300794e-03 
    CSRD0015   1.428375e+01  -2.170081e-01   8.241506e-01   1.652719e-04   4.090366e-03 
         Q3E   1.464085e+01  -2.451027e-01   8.997284e-01   1.652719e-04   5.224414e-03 
         Q3E   1.499795e+01  -2.567152e-01   8.984143e-01   1.652719e-04   5.447282e-03 
    CSRD0016   1.522735e+01  -2.586520e-01   8.723807e-01   1.652719e-04   5.455458e-03 
         Q3E   1.558445e+01  -2.529364e-01   7.942970e-01   1.652719e-04   5.536590e-03 
         Q3E   1.594155e+01  -2.302119e-01   6.458873e-01   1.652719e-04   6.291211e-03 
    CSRD0017   1.618242e+01  -2.094290e-01   5.243423e-01   1.652719e-04   7.187799e-03 
         S2E   1.656342e+01  -1.765559e-01   3.734164e-01   1.652719e-04   8.605961e-03 
         S2E   1.694442e+01  -1.436828e-01   2.881751e-01   1.652719e-04   1.002412e-02 
    CSRD0018   1.716331e+01  -1.247971e-01   2.536312e-01   1.652719e-04   1.083886e-02 
        XC2E   1.729331e+01  -1.135805e-01   2.331151e-01   1.652719e-04   1.132275e-02 
        XC2E   1.742331e+01  -1.023640e-01   2.125989e-01   1.652719e-04   1.180664e-02 
    CSRD0019   1.889790e+01   2.486511e-02  -2.011564e-02   1.652719e-04   1.729537e-02 
         S3E   1.902290e+01   3.565024e-02  -3.982769e-02   1.652719e-04   1.776065e-02 
         S3E   1.914790e+01   4.643537e-02  -5.949225e-02   1.652719e-04   1.822592e-02 
    CSRD0020   1.938760e+01   6.711694e-02  -9.713603e-02   1.652719e-04   1.911814e-02 
         Q4E   1.974470e+01   9.581085e-02  -1.479402e-01   1.652719e-04   2.027332e-02 
         Q4E   2.010180e+01   1.192639e-01  -1.854351e-01   1.652719e-04   2.104760e-02 
    CSRD0021   2.033120e+01   1.323542e-01  -2.044710e-01   1.652719e-04   2.142108e-02 
         Q4E   2.068830e+01   1.489254e-01  -2.244517e-01   1.652719e-04   2.181263e-02 
         Q4E   2.104539e+01   1.573505e-01  -2.240460e-01   1.652719e-04   2.192037e-02 
    CSRD0022   2.127479e+01   1.600225e-01  -2.170576e-01   1.652719e-04   2.193593e-02 
         Q4E   2.163189e+01   1.597673e-01  -1.959473e-01   1.652719e-04   2.194513e-02 
         Q4E   2.198899e+01   1.507729e-01  -1.554194e-01   1.652719e-04   2.206699e-02 
    CSRD0023   2.222869e+01   1.418863e-01  -1.222227e-01   1.652719e-04   2.223172e-02 
         M4E   2.222869e+01   1.418863e-01  -1.222227e-01   1.652719e-04   2.223172e-02 
       D6EA1   2.222869e+01   1.418863e-01  -1.222227e-01   1.652719e-04   2.223172e-02 
         S3E   2.235369e+01   1.372521e-01  -1.045487e-01   1.652719e-04   2.231762e-02 
         S3E   2.247869e+01   1.326179e-01  -8.618129e-02   1.652719e-04   2.240353e-02 
    CSRD0024   2.266627e+01   1.256636e-01  -5.812166e-02   1.652719e-04   2.253244e-02 
        YC2E   2.273427e+01   1.231426e-01  -4.794960e-02   1.652719e-04   2.257917e-02 
        YC2E   2.280227e+01   1.206216e-01  -3.777754e-02   1.652719e-04   2.262590e-02 
    CSRD0025   2.295870e+01   1.148222e-01  -1.437761e-02   1.652719e-04   2.273340e-02 
         Q5E   2.317290e+01   1.076572e-01   1.686168e-02   1.652719e-04   2.285370e-02 
         Q5E   2.338710e+01   1.019820e-01   4.684279e-02   1.652719e-04   2.292929e-02 
        DM5Q   2.338710e+01   1.019820e-01   4.684279e-02   1.652719e-04   2.292929e-02 
