Printout for SDDS file facet_noFF.mat

 ElementName        s             R16            T166           R56            T566     
                    m             m/1             m             m/1             m       
----------------------------------------------------------------------------------------
       _BEG_   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
           C   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
        B1LE   1.063090e+00   1.200675e-02  -1.200521e-02   9.040973e-05  -4.680550e-17 
       CB1LE   1.063090e+00   1.200675e-02  -1.200521e-02   9.040973e-05  -4.680550e-17 
    CSRD0001   4.929030e+00   9.935067e-02  -9.937142e-02   9.040973e-05   9.866891e-04 
    T202040T   4.929030e+00   9.935067e-02  -9.937142e-02   9.040973e-05   9.866891e-04 
    CSRD0002   5.533970e+00   1.130182e-01  -1.130424e-01   9.040973e-05   1.141086e-03 
    P202042T   5.533970e+00   1.130182e-01  -1.130424e-01   9.040973e-05   1.141086e-03 
    CSRD0003   5.873162e+00   1.206816e-01  -1.207078e-01   9.040973e-05   1.227656e-03 
         M1E   5.873162e+00   1.206816e-01  -1.207078e-01   9.040973e-05   1.227656e-03 
    CSRD0004   6.026445e+00   1.241448e-01  -1.241719e-01   9.040973e-05   1.266778e-03 
         Q1E   6.324545e+00   1.258464e-01  -1.208742e-01   9.040973e-05   1.285902e-03 
         Q1E   6.622645e+00   1.175251e-01  -9.799369e-02   9.040973e-05   1.415567e-03 
    CSRD0005   7.761545e+00   6.718278e-02   2.438811e-02   9.040973e-05   2.528199e-03 
    CN202069   7.761545e+00   6.718278e-02   2.438811e-02   9.040973e-05   2.528199e-03 
    CSRD0006   8.011545e+00   5.613212e-02   5.125214e-02   9.040973e-05   2.772433e-03 
    CH202072   8.011545e+00   5.613212e-02   5.125214e-02   9.040973e-05   2.772433e-03 
    CSRD0007   8.972445e+00   1.365782e-02   1.545067e-01   9.040973e-05   3.711171e-03 
    CV202082   8.972445e+00   1.365782e-02   1.545067e-01   9.040973e-05   3.711171e-03 
    CSRD0008   9.322445e+00  -1.813093e-03   1.921164e-01   9.040973e-05   4.053098e-03 
    CH202085   9.322445e+00  -1.813093e-03   1.921164e-01   9.040973e-05   4.053098e-03 
    CSRD0009   9.512445e+00  -1.021159e-02   2.125331e-01   9.040973e-05   4.238716e-03 
        YC1E   9.642445e+00  -1.595793e-02   2.265024e-01   9.040973e-05   4.365718e-03 
        YC1E   9.772445e+00  -2.170427e-02   2.404716e-01   9.040973e-05   4.492719e-03 
    CSRD0010   9.886445e+00  -2.674337e-02   2.527216e-01   9.040973e-05   4.604090e-03 
        XC1E   1.001645e+01  -3.248971e-02   2.666909e-01   9.040973e-05   4.731092e-03 
        XC1E   1.014645e+01  -3.823605e-02   2.806602e-01   9.040973e-05   4.858093e-03 
    CSRD0011   1.041400e+01  -5.006246e-02   3.094101e-01   9.040973e-05   5.119472e-03 
         B2E   1.223890e+01  -1.606481e-01   5.352262e-01   3.383691e-03  -5.142948e-03 
       CB2LE   1.223890e+01  -1.606481e-01   5.352262e-01   3.383691e-03  -5.142948e-03 
      MSEP1E   1.223890e+01  -1.606481e-01   5.352262e-01   3.383691e-03  -5.142948e-03 
    CSRD0012   1.243250e+01  -1.755583e-01   5.623947e-01   3.383691e-03  -4.568791e-03 
         Q2E   1.293250e+01  -2.253444e-01   6.790205e-01   3.383691e-03  -2.044095e-03 
         Q2E   1.343250e+01  -3.021186e-01   9.042225e-01   3.383691e-03   3.929908e-03 
    CSRD0013   1.362615e+01  -3.381449e-01   1.016540e+00   3.383691e-03   7.280941e-03 
         S1E   1.375115e+01  -3.613989e-01   1.084002e+00   3.383691e-03   9.443947e-03 
         S1E   1.387615e+01  -3.846530e-01   1.140462e+00   3.383691e-03   1.160695e-02 
    CSRD0014   1.412656e+01  -4.312378e-01   1.241590e+00   3.383691e-03   1.594010e-02 
         M3E   1.412656e+01  -4.312378e-01   1.241590e+00   3.383691e-03   1.594010e-02 
    CSRD0015   1.428375e+01  -4.604787e-01   1.305067e+00   3.383691e-03   1.865998e-02 
         Q3E   1.464085e+01  -5.128016e-01   1.395681e+00   3.383691e-03   2.258973e-02 
         Q3E   1.499795e+01  -5.351440e-01   1.374864e+00   3.383691e-03   2.340055e-02 
    CSRD0016   1.522735e+01  -5.394899e-01   1.325231e+00   3.383691e-03   2.344172e-02 
         Q3E   1.558445e+01  -5.304186e-01   1.194225e+00   3.383691e-03   2.367356e-02 
         Q3E   1.594155e+01  -4.903368e-01   9.625418e-01   3.383691e-03   2.602916e-02 
    CSRD0017   1.618242e+01  -4.532701e-01   7.754765e-01   3.383691e-03   2.888114e-02 
         S2E   1.656342e+01  -3.946405e-01   5.503942e-01   3.383691e-03   3.339221e-02 
         S2E   1.694442e+01  -3.360109e-01   4.428608e-01   3.383691e-03   3.790328e-02 
    CSRD0018   1.716331e+01  -3.023279e-01   4.084321e-01   3.383691e-03   4.049490e-02 
        XC2E   1.729331e+01  -2.823231e-01   3.879843e-01   3.383691e-03   4.203411e-02 
        XC2E   1.742331e+01  -2.623182e-01   3.675365e-01   3.383691e-03   4.357332e-02 
    CSRD0019   1.889790e+01  -3.540321e-02   1.355972e-01   3.383691e-03   6.103256e-02 
         S3E   1.902290e+01  -1.616777e-02   1.160307e-01   3.383691e-03   6.251257e-02 
         S3E   1.914790e+01   3.067678e-03   9.653525e-02   3.383691e-03   6.399258e-02 
    CSRD0020   1.938760e+01   3.995356e-02   5.915754e-02   3.383691e-03   6.683065e-02 
         Q4E   1.974470e+01   9.280440e-02   4.101921e-03   3.383691e-03   7.074438e-02 
         Q4E   2.010180e+01   1.389681e-01  -4.460261e-02   3.383691e-03   7.373665e-02 
    CSRD0021   2.033120e+01   1.657294e-01  -7.231573e-02   3.383691e-03   7.529760e-02 
         Q4E   2.068830e+01   2.009156e-01  -1.058967e-01   3.383691e-03   7.705202e-02 
         Q4E   2.104539e+01   2.216246e-01  -1.174577e-01   3.383691e-03   7.768028e-02 
    CSRD0022   2.127479e+01   2.298982e-01  -1.171633e-01   3.383691e-03   7.782948e-02 
         Q4E   2.163189e+01   2.343398e-01  -1.041023e-01   3.383691e-03   7.789062e-02 
         Q4E   2.198899e+01   2.218958e-01  -6.675669e-02   3.383691e-03   7.813982e-02 
    CSRD0023   2.222869e+01   2.080095e-01  -3.418196e-02   3.383691e-03   7.854205e-02 
         M4E   2.222869e+01   2.080095e-01  -3.418196e-02   3.383691e-03   7.854205e-02 
       D6EA1   2.222869e+01   2.080095e-01  -3.418196e-02   3.383691e-03   7.854205e-02 
         S3E   2.235369e+01   2.007680e-01  -1.254077e-02   3.383691e-03   7.875180e-02 
         S3E   2.247869e+01   1.935265e-01   1.797766e-02   3.383691e-03   7.896156e-02 
    CSRD0024   2.266627e+01   1.826598e-01   7.011767e-02   3.383691e-03   7.927633e-02 
        YC2E   2.273427e+01   1.787204e-01   8.901925e-02   3.383691e-03   7.939043e-02 
        YC2E   2.280227e+01   1.747810e-01   1.079208e-01   3.383691e-03   7.950454e-02 
    CSRD0025   2.295870e+01   1.657189e-01   1.514022e-01   3.383691e-03   7.976704e-02 
         Q5E   2.317290e+01   1.549135e-01   2.110353e-01   3.383691e-03   8.004153e-02 
         Q5E   2.338710e+01   1.471829e-01   2.717773e-01   3.383691e-03   8.018277e-02 
        DM5Q   2.338710e+01   1.471829e-01   2.717773e-01   3.383691e-03   8.018277e-02 
