Printout for SDDS file facet_noFF.mat

 ElementName        s             R16            T166           R56            T566     
                    m             m/1             m             m/1             m       
----------------------------------------------------------------------------------------
       _BEG_   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
           C   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00 
        B1LE   1.063090e+00   1.200675e-02  -1.200521e-02   9.040973e-05  -4.680550e-17 
       CB1LE   1.063090e+00   1.200675e-02  -1.200521e-02   9.040973e-05  -4.680550e-17 
    CSRD0001   4.929030e+00   9.935067e-02  -9.937142e-02   9.040973e-05   9.866891e-04 
    T202040T   4.929030e+00   9.935067e-02  -9.937142e-02   9.040973e-05   9.866891e-04 
    CSRD0002   5.533970e+00   1.130182e-01  -1.130424e-01   9.040973e-05   1.141086e-03 
    P202042T   5.533970e+00   1.130182e-01  -1.130424e-01   9.040973e-05   1.141086e-03 
    CSRD0003   5.873162e+00   1.206816e-01  -1.207078e-01   9.040973e-05   1.227656e-03 
         M1E   5.873162e+00   1.206816e-01  -1.207078e-01   9.040973e-05   1.227656e-03 
    CSRD0004   6.026445e+00   1.241448e-01  -1.241719e-01   9.040973e-05   1.266778e-03 
         Q1E   6.324545e+00   1.260623e-01  -1.213032e-01   9.040973e-05   1.286021e-03 
         Q1E   6.622645e+00   1.183702e-01  -9.963958e-02   9.040973e-05   1.397742e-03 
    CSRD0005   7.761545e+00   7.114414e-02   1.684548e-02   9.040973e-05   2.376891e-03 
    CN202069   7.761545e+00   7.114414e-02   1.684548e-02   9.040973e-05   2.376891e-03 
    CSRD0006   8.011545e+00   6.077753e-02   4.241512e-02   9.040973e-05   2.591824e-03 
    CH202072   8.011545e+00   6.077753e-02   4.241512e-02   9.040973e-05   2.591824e-03 
    CSRD0007   8.972445e+00   2.093245e-02   1.406946e-01   9.040973e-05   3.417941e-03 
    CV202082   8.972445e+00   2.093245e-02   1.406946e-01   9.040973e-05   3.417941e-03 
    CSRD0008   9.322445e+00   6.419198e-03   1.764921e-01   9.040973e-05   3.718847e-03 
    CH202085   9.322445e+00   6.419198e-03   1.764921e-01   9.040973e-05   3.718847e-03 
    CSRD0009   9.512445e+00  -1.459422e-03   1.959250e-01   9.040973e-05   3.882196e-03 
        YC1E   9.642445e+00  -6.850057e-03   2.092212e-01   9.040973e-05   3.993961e-03 
        YC1E   9.772445e+00  -1.224069e-02   2.225174e-01   9.040973e-05   4.105726e-03 
    CSRD0010   9.886445e+00  -1.696786e-02   2.341772e-01   9.040973e-05   4.203736e-03 
        XC1E   1.001645e+01  -2.235850e-02   2.474734e-01   9.040973e-05   4.315501e-03 
        XC1E   1.014645e+01  -2.774913e-02   2.607696e-01   9.040973e-05   4.427266e-03 
    CSRD0011   1.041400e+01  -3.884347e-02   2.881343e-01   9.040973e-05   4.657287e-03 
         B2E   1.223890e+01  -1.444367e-01   5.045354e-01   2.933657e-03  -5.048101e-03 
       CB2LE   1.223890e+01  -1.444367e-01   5.045354e-01   2.933657e-03  -5.048101e-03 
      MSEP1E   1.223890e+01  -1.444367e-01   5.045354e-01   2.933657e-03  -5.048101e-03 
    CSRD0012   1.243250e+01  -1.588171e-01   5.307006e-01   2.933657e-03  -4.514015e-03 
         Q2E   1.293250e+01  -2.062055e-01   6.417457e-01   2.933657e-03  -2.230192e-03 
         Q2E   1.343250e+01  -2.782897e-01   8.545882e-01   2.933657e-03   3.033218e-03 
    CSRD0013   1.362615e+01  -3.119931e-01   9.605817e-01   2.933657e-03   5.966040e-03 
         S1E   1.375115e+01  -3.337477e-01   1.024792e+00   2.933657e-03   7.859102e-03 
         S1E   1.387615e+01  -3.555024e-01   1.079807e+00   2.933657e-03   9.752163e-03 
    CSRD0014   1.412656e+01  -3.990834e-01   1.179993e+00   2.933657e-03   1.354453e-02 
         M3E   1.412656e+01  -3.990834e-01   1.179993e+00   2.933657e-03   1.354453e-02 
    CSRD0015   1.428375e+01  -4.264390e-01   1.242879e+00   2.933657e-03   1.592497e-02 
         Q3E   1.464085e+01  -4.753607e-01   1.334413e+00   2.933657e-03   1.936090e-02 
         Q3E   1.499795e+01  -4.961624e-01   1.319030e+00   2.933657e-03   2.006524e-02 
    CSRD0016   1.522735e+01  -5.001372e-01   1.274302e+00   2.933657e-03   2.009968e-02 
         Q3E   1.558445e+01  -4.914707e-01   1.152892e+00   2.933657e-03   2.030743e-02 
         Q3E   1.594155e+01  -4.537312e-01   9.343532e-01   2.933657e-03   2.239487e-02 
    CSRD0017   1.618242e+01  -4.188780e-01   7.572001e-01   2.933657e-03   2.491639e-02 
         S2E   1.656342e+01  -3.637496e-01   5.431385e-01   2.933657e-03   2.890477e-02 
         S2E   1.694442e+01  -3.086211e-01   4.385079e-01   2.933657e-03   3.289315e-02 
    CSRD0018   1.716331e+01  -2.769496e-01   4.037433e-01   2.933657e-03   3.518449e-02 
        XC2E   1.729331e+01  -2.581394e-01   3.830961e-01   2.933657e-03   3.654536e-02 
        XC2E   1.742331e+01  -2.393292e-01   3.624489e-01   2.933657e-03   3.790622e-02 
    CSRD0019   1.889790e+01  -2.596488e-02   1.282477e-01   2.933657e-03   5.334249e-02 
         S3E   1.902290e+01  -7.878124e-03   1.084352e-01   2.933657e-03   5.465102e-02 
         S3E   1.914790e+01   1.020863e-02   8.864535e-02   2.933657e-03   5.595954e-02 
    CSRD0020   1.938760e+01   4.489180e-02   5.070308e-02   2.933657e-03   5.846876e-02 
         Q4E   1.974470e+01   9.439461e-02  -4.775841e-03   2.933657e-03   6.190276e-02 
         Q4E   2.010180e+01   1.373141e-01  -5.337689e-02   2.933657e-03   6.448982e-02 
    CSRD0021   2.033120e+01   1.620982e-01  -8.095339e-02   2.933657e-03   6.582864e-02 
         Q4E   2.068830e+01   1.945768e-01  -1.144904e-01   2.933657e-03   6.732415e-02 
         Q4E   2.104539e+01   2.134850e-01  -1.265516e-01   2.933657e-03   6.784899e-02 
    CSRD0022   2.127479e+01   2.209362e-01  -1.267999e-01   2.933657e-03   6.797000e-02 
         Q4E   2.163189e+01   2.246956e-01  -1.149663e-01   2.933657e-03   6.801870e-02 
         Q4E   2.198899e+01   2.127842e-01  -7.953547e-02   2.933657e-03   6.824523e-02 
    CSRD0023   2.222869e+01   1.996552e-01  -4.842479e-02   2.933657e-03   6.860478e-02 
         M4E   2.222869e+01   1.996552e-01  -4.842479e-02   2.933657e-03   6.860478e-02 
       D6EA1   2.222869e+01   1.996552e-01  -4.842479e-02   2.933657e-03   6.860478e-02 
         S3E   2.235369e+01   1.928086e-01  -2.840102e-02   2.933657e-03   6.879229e-02 
         S3E   2.247869e+01   1.859620e-01  -1.123662e-03   2.933657e-03   6.897979e-02 
    CSRD0024   2.266627e+01   1.756878e-01   4.499652e-02   2.933657e-03   6.926116e-02 
        YC2E   2.273427e+01   1.719632e-01   6.171582e-02   2.933657e-03   6.936316e-02 
        YC2E   2.280227e+01   1.682387e-01   7.843512e-02   2.933657e-03   6.946517e-02 
    CSRD0025   2.295870e+01   1.596707e-01   1.168964e-01   2.933657e-03   6.969981e-02 
         Q5E   2.317290e+01   1.494041e-01   1.693592e-01   2.933657e-03   6.994748e-02 
         Q5E   2.338710e+01   1.419495e-01   2.221932e-01   2.933657e-03   7.007866e-02 
        DM5Q   2.338710e+01   1.419495e-01   2.221932e-01   2.933657e-03   7.007866e-02 
