KLYS NAME 	 KLYS PHAS 	 SBST PHAS 	 SUM PHAS 	 KLYS PDES 	 SBST PDES 	 SUM PDES 	 FAST FBCK 	 FBCK PHAS 	 FBCK PDES 	 KLYS ENLD 	 PHAS EGAIN 	 LINAC PHAS E 	 PDES EGAIN 	 LINAC PDES E
KLYS:LI11:41 	   0.87 	   0.38 	   1.25 	   0.00 	   0.00 	   0.00 	   0.00 	   1.25 	   0.00 	 185.24 	 185.20 	   9.19 	 185.24 	   9.19
KLYS:LI11:71 	   1.11 	   0.38 	   1.50 	   0.00 	   0.00 	   0.00 	   0.00 	   1.50 	   0.00 	 160.87 	 160.82 	   9.35 	 160.87 	   9.35
KLYS:LI12:11 	   0.47 	   0.03 	   0.50 	   0.00 	   0.00 	   0.00 	   0.00 	   0.50 	   0.00 	 209.09 	 209.09 	   9.56 	 209.09 	   9.56
KLYS:LI12:21 	  -0.07 	   0.03 	  -0.04 	   0.00 	   0.00 	   0.00 	   0.00 	  -0.04 	   0.00 	 218.35 	 218.35 	   9.77 	 218.35 	   9.77
KLYS:LI12:31 	  -0.01 	   0.03 	   0.01 	   0.00 	   0.00 	   0.00 	   0.00 	   0.01 	   0.00 	 238.29 	 238.29 	  10.01 	 238.29 	  10.01
KLYS:LI12:41 	  -0.53 	   0.03 	  -0.50 	   0.00 	   0.00 	   0.00 	   0.00 	  -0.50 	   0.00 	 232.20 	 232.19 	  10.24 	 232.20 	  10.24
KLYS:LI12:51 	  -0.06 	   0.03 	  -0.03 	   0.00 	   0.00 	   0.00 	   0.00 	  -0.03 	   0.00 	 222.00 	 222.00 	  10.47 	 222.00 	  10.47
KLYS:LI12:61 	   0.08 	   0.03 	   0.11 	   0.00 	   0.00 	   0.00 	   0.00 	   0.11 	   0.00 	 207.32 	 207.32 	  10.67 	 207.32 	  10.67
KLYS:LI12:71 	  -0.05 	   0.03 	  -0.02 	   0.00 	   0.00 	   0.00 	   0.00 	  -0.02 	   0.00 	 185.78 	 185.78 	  10.86 	 185.78 	  10.86
KLYS:LI13:11 	  -0.08 	  -1.31 	  -1.39 	   0.00 	   0.00 	   0.00 	   0.00 	  -1.39 	   0.00 	 217.93 	 217.87 	  11.08 	 217.93 	  11.08
KLYS:LI13:21 	  -0.17 	  -1.31 	  -1.48 	   0.00 	   0.00 	   0.00 	   0.00 	  -1.48 	   0.00 	 232.64 	 232.56 	  11.31 	 232.64 	  11.31
KLYS:LI13:31 	  -0.62 	  -1.31 	  -1.93 	   0.00 	   0.00 	   0.00 	   0.00 	  -1.93 	   0.00 	 246.21 	 246.07 	  11.56 	 246.21 	  11.56
